[AudioInfo]
Artist=Camellia
Title=Kisaragi
AudioPreviewTime=203902
BPM=230
Offset=0
Difficulty=We began as wanderers

[HitObjects]
64,192,3555,128,0,11837:0:0:0:0:
448,192,3555,128,0,11837:0:0:0:0:
448,192,11902,1,0,0:0:0:0:
320,192,11902,1,0,0:0:0:0:
192,192,11902,1,0,0:0:0:0:
64,192,11902,1,0,0:0:0:0:
192,192,12033,1,0,0:0:0:0:
320,192,12163,1,0,0:0:0:0:
448,192,12294,1,0,0:0:0:0:
192,192,12424,1,0,0:0:0:0:
320,192,12815,1,0,0:0:0:0:
448,192,12881,1,0,0:0:0:0:
320,192,12946,1,0,0:0:0:0:
192,192,13076,1,0,0:0:0:0:
64,192,13207,1,0,0:0:0:0:
320,192,13337,1,0,0:0:0:0:
192,192,13598,1,0,0:0:0:0:
320,192,13728,1,0,0:0:0:0:
448,192,13859,1,0,0:0:0:0:
64,192,13989,1,0,0:0:0:0:
192,192,13989,1,0,0:0:0:0:
320,192,14120,1,0,0:0:0:0:
192,192,14250,1,0,0:0:0:0:
320,192,14381,1,0,0:0:0:0:
448,192,14511,1,0,0:0:0:0:
320,192,14902,1,0,0:0:0:0:
64,192,14968,1,0,0:0:0:0:
192,192,15033,1,0,0:0:0:0:
448,192,15163,1,0,0:0:0:0:
192,192,15294,1,0,0:0:0:0:
320,192,15424,1,0,0:0:0:0:
320,192,15685,1,0,0:0:0:0:
192,192,15815,1,0,0:0:0:0:
64,192,15946,1,0,0:0:0:0:
192,192,16076,1,0,0:0:0:0:
448,192,16076,1,0,0:0:0:0:
320,192,16207,1,0,0:0:0:0:
192,192,16337,1,0,0:0:0:0:
320,192,16468,1,0,0:0:0:0:
448,192,16598,1,0,0:0:0:0:
192,192,16989,1,0,0:0:0:0:
448,192,17054,1,0,0:0:0:0:
320,192,17120,1,0,0:0:0:0:
192,192,17250,1,0,0:0:0:0:
64,192,17381,1,0,0:0:0:0:
320,192,17511,1,0,0:0:0:0:
64,192,17772,1,0,0:0:0:0:
320,192,17902,1,0,0:0:0:0:
192,192,18033,1,0,0:0:0:0:
448,192,18163,1,0,0:0:0:0:
64,192,18163,1,0,0:0:0:0:
320,192,18294,1,0,0:0:0:0:
192,192,18424,1,0,0:0:0:0:
320,192,18554,1,0,0:0:0:0:
448,192,18685,1,0,0:0:0:0:
192,192,18685,1,0,0:0:0:0:
192,192,19076,1,0,0:0:0:0:
320,192,19141,1,0,0:0:0:0:
448,192,19207,1,0,0:0:0:0:
64,192,19207,1,0,0:0:0:0:
192,192,19337,1,0,0:0:0:0:
64,192,19468,1,0,0:0:0:0:
320,192,19468,1,0,0:0:0:0:
192,192,19598,1,0,0:0:0:0:
448,192,19598,1,0,0:0:0:0:
320,192,19859,1,0,0:0:0:0:
448,192,19924,1,0,0:0:0:0:
320,192,19989,1,0,0:0:0:0:
192,192,20054,1,0,0:0:0:0:
64,192,20120,1,0,0:0:0:0:
192,192,20185,1,0,0:0:0:0:
320,192,20250,1,0,0:0:0:0:
64,192,20381,1,0,0:0:0:0:
192,192,20511,1,0,0:0:0:0:
320,192,20641,1,0,0:0:0:0:
64,192,20772,1,0,0:0:0:0:
192,192,21163,1,0,0:0:0:0:
448,192,21228,1,0,0:0:0:0:
320,192,21294,1,0,0:0:0:0:
192,192,21424,1,0,0:0:0:0:
64,192,21554,1,0,0:0:0:0:
320,192,21685,1,0,0:0:0:0:
192,192,21946,1,0,0:0:0:0:
320,192,22076,1,0,0:0:0:0:
